Dia,mes,ano,Tmed,Tmin ,Tmax ,URmed,URmin,URmax,Vv2m,Hg,P,ETo,ETc,
*Dia ,Mês,Ano,(°C),(°C),(°C),(%),(%),(%),(m/s),(MJ m-2),(mm),(mm),(mm),
13,9,2019,23.73,19.62,28.53,75.71,56.13,92.44,1.16,20.49,0.00,3.96,1.39,
14,9,2019,23.48,18.90,28.78,76.73,55.11,95.00,1.32,22.13,0.00,4.26,1.49,
15,9,2019,23.42,18.93,28.91,76.96,54.58,95.00,1.25,22.50,1.52,4.31,1.51,
16,9,2019,23.87,20.61,28.65,75.12,55.64,88.41,1.85,21.18,2.03,4.40,1.54,
17,9,2019,22.98,20.00,27.44,78.75,60.57,90.89,1.56,17.45,10.16,3.52,1.23,
18,9,2019,23.89,20.41,28.52,75.05,56.17,89.22,1.56,21.66,1.52,4.33,4.33,
19,9,2019,23.61,19.59,28.41,76.19,56.62,92.56,1.66,19.92,1.02,4.03,4.03,
20,9,2019,22.69,18.43,26.91,79.84,62.73,95.00,1.28,14.18,0.25,2.81,2.81,
21,9,2019,23.87,19.77,28.86,75.10,54.79,91.83,1.41,22.43,0.25,4.40,4.40,
22,9,2019,24.44,19.19,29.23,72.79,53.28,94.19,1.64,23.96,0.00,4.73,4.73,
23,9,2019,24.00,21.67,27.39,74.58,60.78,84.09,1.84,13.25,3.81,3.12,3.12,
24,9,2019,24.05,19.99,29.00,74.38,54.22,90.93,1.69,20.45,0.76,4.24,4.24,
25,9,2019,23.18,19.57,28.29,77.93,57.11,92.64,1.64,19.48,0.00,3.94,3.94,
26,9,2019,23.26,19.09,29.20,77.62,53.40,94.60,1.40,21.90,0.25,4.33,4.33,
27,9,2019,24.15,18.89,30.64,73.96,47.54,95.00,1.52,22.18,0.00,4.64,4.64,
28,9,2019,24.27,20.03,29.78,73.49,51.04,90.77,1.66,21.15,0.00,4.47,4.47,
29,9,2019,24.55,20.70,29.71,72.36,51.32,88.04,1.56,21.59,0.00,4.53,4.53,
30,9,2019,24.86,20.52,30.67,71.08,47.41,88.77,1.37,22.18,0.00,4.67,4.67,
1,10,2019,24.38,20.30,30.22,73.05,49.25,89.67,1.42,20.89,0.00,4.41,4.41,
2,10,2019,24.55,19.77,30.29,72.35,48.96,91.83,1.93,22.00,0.00,4.79,4.79,
3,10,2019,24.31,18.87,29.24,73.33,53.24,95.00,1.99,20.02,0.00,4.26,4.26,
4,10,2019,24.78,21.38,29.38,71.43,52.67,85.27,2.01,21.90,0.76,4.76,4.76,
5,10,2019,24.24,18.66,29.32,73.56,52.91,95.00,1.69,23.32,0.00,4.65,4.65,
6,10,2019,24.02,19.58,30.45,74.51,48.31,92.60,1.51,23.98,0.00,4.92,4.92,
7,10,2019,24.31,19.16,30.60,73.32,47.70,94.31,1.96,22.85,0.00,4.95,4.95,
8,10,2019,24.27,19.43,30.01,73.48,50.10,93.21,1.89,23.50,0.00,4.91,4.91,
9,10,2019,23.77,18.65,29.51,75.49,52.14,95.00,1.73,21.95,0.00,4.50,4.50,
10,10,2019,23.78,19.14,28.77,75.48,55.16,94.40,1.98,14.38,0.00,3.37,3.37,
11,10,2019,24.83,20.89,29.56,71.20,51.94,87.27,2.05,18.24,1.27,4.24,4.24,
12,10,2019,24.73,19.85,30.44,71.63,48.35,91.50,2.18,20.26,0.25,4.69,4.69,
13,10,2019,24.98,20.60,29.34,70.60,52.83,88.45,2.30,22.65,1.78,4.90,4.90,
14,10,2019,23.83,20.31,28.72,75.29,55.36,89.63,1.53,19.68,3.30,4.05,4.05,
15,10,2019,24.51,21.05,29.69,72.51,51.41,86.61,1.68,19.74,0.51,4.32,4.32,
16,10,2019,24.96,20.09,29.85,70.67,50.75,90.53,1.93,20.76,0.25,4.55,4.55,
17,10,2019,24.27,18.62,30.06,73.47,49.90,95.00,1.59,23.63,0.00,4.79,4.79,
18,10,2019,24.01,20.01,29.05,74.59,54.01,90.85,1.61,13.96,0.76,3.25,3.25,
19,10,2019,24.76,21.84,30.15,71.45,49.53,83.39,1.42,16.96,1.78,3.89,,
20,10,2019,24.87,20.75,31.47,71.04,44.15,87.84,1.95,19.90,0.00,4.80,4.80,
21,10,2019,25.56,21.71,31.52,68.25,43.95,83.92,2.10,20.96,0.00,5.12,5.12,
22,10,2019,25.26,20.21,32.21,69.43,41.14,90.04,1.99,24.72,0.00,5.66,5.66,
23,10,2019,25.13,19.50,31.92,70.03,42.32,92.93,1.79,24.53,0.00,5.41,5.41,
24,10,2019,25.37,21.13,31.01,68.96,46.03,86.17,1.68,22.29,0.00,4.95,4.95,
25,10,2019,24.85,19.96,30.04,71.17,49.98,91.05,1.71,20.37,0.00,4.42,4.42,
26,10,2019,25.31,21.71,30.08,69.29,49.82,83.92,1.59,18.06,0.51,4.13,4.13,
27,10,2019,25.40,21.76,30.45,68.87,48.31,83.72,1.84,20.31,0.00,4.67,4.67,
28,10,2019,24.60,19.97,29.73,72.08,51.24,91.01,1.81,21.82,0.00,4.62,4.62,
29,10,2019,24.14,18.93,30.20,74.00,49.33,95.00,1.45,22.35,0.00,4.56,4.56,
30,10,2019,24.69,19.52,31.32,71.82,44.76,92.85,1.63,21.70,0.00,4.78,4.78,
31,10,2019,24.84,20.29,30.89,71.20,46.52,89.71,1.61,23.80,1.27,5.06,,
1,11,2019,24.43,19.49,30.67,72.86,47.41,92.97,1.69,22.48,0.00,4.81,4.81,
2,11,2019,24.83,19.40,30.90,71.20,46.48,93.34,1.84,21.65,0.00,4.79,4.79,
3,11,2019,24.92,21.56,30.09,70.84,49.78,84.54,1.69,18.36,2.03,4.22,,
4,11,2019,25.27,20.48,31.43,69.42,44.32,88.94,1.81,21.16,0.00,4.88,4.88,
5,11,2019,25.03,20.52,31.18,70.39,45.33,88.77,1.77,23.18,0.00,5.12,5.12,
6,11,2019,25.64,20.36,31.75,67.89,43.01,89.43,1.90,24.44,0.00,5.48,5.48,
7,11,2019,25.34,20.83,30.80,69.14,46.88,87.51,1.83,19.38,0.00,4.52,4.52,
8,11,2019,25.34,20.27,30.87,69.12,46.60,89.79,1.67,20.32,0.00,4.56,4.56,
9,11,2019,25.15,20.08,30.94,69.91,46.31,90.57,1.73,21.72,0.00,4.80,4.80,
10,11,2019,25.61,21.50,30.97,68.04,46.19,84.78,1.88,20.54,0.00,4.81,4.81,
11,11,2019,26.02,21.15,31.28,66.36,44.93,86.21,1.56,21.51,0.00,4.80,4.80,
12,11,2019,25.39,20.70,31.29,68.95,44.89,88.04,1.64,21.67,0.00,4.85,4.85,
13,11,2019,25.05,20.50,30.95,70.32,46.27,88.85,1.59,21.96,1.27,4.79,,
14,11,2019,24.70,19.75,30.76,71.75,47.05,91.91,1.60,20.68,0.51,4.52,4.52,
15,11,2019,25.49,20.35,31.65,68.51,43.42,89.47,1.94,22.41,0.00,5.18,5.18,
16,11,2019,26.21,21.23,32.72,65.58,39.06,85.88,2.47,22.37,0.00,5.81,5.81,
17,11,2019,26.01,21.67,32.10,66.37,41.59,84.09,2.40,22.27,0.00,5.63,5.63,
18,11,2019,25.19,20.88,30.15,69.77,49.53,87.31,1.93,20.25,3.30,4.58,,
19,11,2019,25.18,20.55,30.64,69.72,47.54,88.65,1.70,18.35,0.00,4.25,4.25,
20,11,2019,24.68,19.98,30.93,71.82,46.35,90.97,1.63,19.88,0.00,4.46,4.46,
21,11,2019,25.18,20.51,31.25,69.80,45.05,88.81,1.62,23.59,0.25,5.11,5.11,
22,11,2019,25.16,19.67,31.57,69.87,43.75,92.24,1.75,24.88,0.00,5.38,5.38,
23,11,2019,25.25,19.42,32.01,69.54,41.95,93.26,1.59,22.67,0.00,5.03,5.03,
24,11,2019,27.15,21.30,35.76,61.83,26.67,85.59,2.20,25.01,0.00,6.84,6.84,
25,11,2019,26.83,22.48,33.48,63.02,35.96,80.79,1.96,21.46,0.00,5.59,5.59,
26,11,2019,26.44,22.55,32.62,64.64,39.47,80.50,1.61,19.46,0.00,4.85,4.85,
27,11,2019,26.16,21.83,32.12,65.74,41.50,83.43,1.74,22.55,0.00,5.28,5.28,
28,11,2019,25.72,20.85,31.70,67.55,43.22,87.10,1.73,23.31,0.00,5.24,5.24,
29,11,2019,25.42,19.83,31.85,68.79,42.60,91.58,1.95,24.28,0.00,5.47,5.47,
30,11,2019,25.68,19.86,31.88,67.76,42.48,91.46,2.00,22.12,0.00,5.18,5.18,
1,12,2019,25.82,20.74,31.71,67.18,43.17,87.88,1.93,21.06,0.00,5.01,5.01,
2,12,2019,26.77,20.82,34.41,63.29,32.17,87.55,2.14,24.76,0.00,6.35,6.35,
3,12,2019,26.81,21.81,33.50,63.15,35.88,83.52,2.14,25.01,0.00,6.22,6.22,
4,12,2019,25.97,20.46,31.76,66.55,42.97,89.02,1.72,22.25,0.00,5.06,5.06,
5,12,2019,26.00,21.20,31.89,66.44,42.44,86.00,1.66,23.59,0.25,5.30,5.30,
6,12,2019,26.47,20.88,33.03,64.52,37.80,87.31,1.99,21.96,0.00,5.48,5.48,
7,12,2019,27.88,22.78,35.09,58.77,29.40,79.56,2.37,23.25,0.00,6.62,6.62,
8,12,2019,27.27,22.62,33.15,61.29,37.31,80.22,2.48,23.10,0.00,6.15,6.15,
9,12,2019,26.32,21.26,31.87,65.13,42.52,85.76,1.91,23.50,0.00,5.44,5.44,
10,12,2019,25.65,21.48,31.04,67.87,45.91,84.86,1.64,18.48,0.25,4.37,4.37,
11,12,2019,25.87,21.23,31.68,66.96,43.30,85.88,1.57,18.95,0.00,4.49,4.49,
12,12,2019,25.65,20.86,31.19,67.87,45.29,87.39,1.60,19.96,0.00,4.56,4.56,
13,12,2019,25.59,20.09,31.78,68.11,42.89,90.53,1.67,22.22,0.00,5.00,5.00,
14,12,2019,26.13,21.09,32.02,65.92,41.91,86.45,1.80,23.59,2.54,5.40,,
15,12,2019,24.80,22.35,29.41,71.33,52.55,81.32,1.78,15.47,16.00,3.78,,
16,12,2019,25.56,21.71,30.49,68.24,48.15,83.92,1.84,20.95,3.30,4.77,,
17,12,2019,25.58,22.08,30.77,68.12,47.01,82.42,1.77,19.18,0.76,4.55,4.55,
18,12,2019,25.94,21.02,31.52,66.71,43.95,86.74,1.63,21.73,0.00,4.91,4.91,
19,12,2019,25.72,22.11,31.03,67.61,45.95,82.29,1.88,18.18,0.51,4.51,4.51,
20,12,2019,26.15,22.90,30.43,65.85,48.39,79.07,2.19,20.24,1.52,4.95,,
21,12,2019,25.69,21.81,30.76,67.66,47.05,83.52,1.77,17.58,0.51,4.28,4.28,
22,12,2019,25.61,21.00,30.68,68.00,47.37,86.82,1.72,22.46,0.00,4.92,4.92,
23,12,2019,25.85,20.43,31.60,67.07,43.62,89.14,1.68,22.49,0.00,5.04,5.04,
24,12,2019,26.17,21.42,31.69,65.77,43.26,85.11,1.81,19.62,0.00,4.76,4.76,
25,12,2019,26.51,21.43,31.67,64.41,43.34,85.06,1.95,20.35,0.00,4.95,4.95,
26,12,2019,26.73,22.91,31.14,63.45,45.50,79.03,1.90,21.86,0.51,5.16,5.16,
27,12,2019,26.16,21.35,32.25,65.73,40.97,85.39,1.53,20.97,0.76,4.88,4.88,
28,12,2019,25.80,20.84,31.84,67.29,42.65,87.47,1.41,19.29,0.00,4.44,4.44,
29,12,2019,26.03,21.76,31.53,66.36,43.91,83.72,1.31,13.24,0.00,3.42,3.42,
30,12,2019,25.59,22.76,29.52,68.08,52.10,79.32,1.56,10.47,0.25,2.94,2.94,
31,12,2019,26.55,21.52,32.88,64.18,38.41,84.70,1.71,18.20,0.00,4.71,4.71,
1,1,2020,26.60,23.62,31.68,64.01,43.30,76.14,1.69,12.90,0.00,3.78,3.78,
2,1,2020,26.72,23.28,32.38,63.50,40.44,77.53,1.81,16.22,2.54,4.50,,
3,1,2020,27.11,22.82,33.64,61.91,35.31,79.40,2.03,19.43,0.00,5.39,5.39,
4,1,2020,26.83,22.71,33.03,63.05,37.80,79.85,1.99,19.22,0.00,5.19,5.19,
5,1,2020,26.21,22.22,31.10,65.58,45.66,81.85,1.52,15.77,0.00,3.93,3.93,
6,1,2020,26.54,22.06,32.59,64.25,39.59,82.50,1.85,20.41,0.00,5.13,5.13,
7,1,2020,26.44,22.18,32.45,64.64,40.16,82.01,1.60,21.35,0.00,5.08,5.08,
8,1,2020,26.45,21.32,32.76,64.61,38.90,85.51,1.52,20.72,0.00,4.92,4.92,
9,1,2020,26.65,22.57,31.63,63.81,43.50,80.42,1.82,24.06,0.00,5.52,5.52,
10,1,2020,26.40,21.89,32.13,64.80,41.46,83.19,1.75,23.59,0.00,5.45,5.45,
11,1,2020,26.56,21.68,32.43,64.15,40.24,84.05,1.70,24.95,0.00,5.67,5.67,
12,1,2020,26.64,21.77,32.55,63.83,39.75,83.68,1.74,26.04,0.00,5.90,5.90,
13,1,2020,26.81,21.98,32.98,63.15,38.00,82.82,1.66,25.59,0.00,5.88,5.88,
14,1,2020,26.44,21.47,32.21,64.65,41.14,84.90,1.50,25.24,0.00,5.53,5.53,
15,1,2020,26.17,20.93,32.50,65.76,39.96,87.10,1.70,26.83,0.00,5.92,5.92,
16,1,2020,26.30,22.49,32.08,65.24,41.67,80.75,1.67,20.59,0.00,4.96,4.96,
17,1,2020,26.45,21.98,32.21,64.62,41.14,82.82,1.76,21.71,0.00,5.19,5.19,
18,1,2020,26.83,22.36,32.13,63.07,41.46,81.28,1.74,20.19,2.79,4.95,,
19,1,2020,25.92,22.31,30.59,66.74,47.74,81.48,1.53,18.82,0.25,4.34,4.34,
20,1,2020,25.68,21.21,31.54,67.74,43.87,85.96,1.64,21.58,0.00,4.91,4.91,
21,1,2020,27.28,21.35,33.21,61.30,37.06,85.39,2.17,23.45,0.00,5.90,5.90,
